28,5,0,0,"6E","Bre","F","33",,0,7.00000,,,,"20250904","20260708",0.02800,,,"33",,,,"Bn",,,,2,2,,,,,0,0,,,,,500000,5.00000,"6 Frz Bre",,,,0,
28,5,0,5,"6A","Neh","Spa","61",,0,7.00000,,,,"20250904","20260708",0.02800,,,"61",,,,"Bn",,,,2,2,,,,,0,0,,,,,500000,5.00000,"6 Spa 3 Neh",,,,0,
28,5,0,0,"6B","Neh","Spa","61",,0,7.00000,,,,"20250904","20260708",0.02800,,,"61",,,,"Bn",,,,2,2,,,,,0,0,,,,,500000,5.00000,"6 Spa 3 Neh",,,,0,
28,5,0,0,"6C","Neh","Spa","61",,0,7.00000,,,,"20250904","20260708",0.02800,,,"61",,,,"Bn",,,,2,2,,,,,0,0,,,,,500000,5.00000,"6 Spa 3 Neh",,,,0,
28,5,0,0,"6D","Neh","Spa","61",,0,7.00000,,,,"20250904","20260708",0.02800,,,"61",,,,"Bn",,,,2,2,,,,,0,0,,,,,500000,5.00000,"6 Spa 3 Neh",,,,0,
28,5,0,0,"6E","Neh","Spa","61",,0,7.00000,,,,"20250904","20260708",0.02800,,,"61",,,,"Bn",,,,2,2,,,,,0,0,,,,,500000,5.00000,"6 Spa 3 Neh",,,,0,
29,4,4,4,"6A","Kes","D","65",,0,6.40000,,,,"20250904","20260708",0.02560,,,"65",,,,"Bn",,,,2,2,,,,,0,0,,,,,400000,4.00000,"D_6A_Kes",,,,0,
30,4,4,4,"6A","Bal","E","56",,0,5.80000,,,,"20250904","20260708",0.02320,,,"56",,,,"Bn",,,,2,2,,,,,0,0,,,,,400000,4.00000,"E_6A_Bal",,,,0,
31,4,4,4,"6A","Ber","Ma","63",,0,5.80000,,,,"20250904","20260708",0.02320,,,"63",,,,"Bn",,,,2,2,,,,,0,0,,,,,400000,4.00000,"Ma_6A_Ber",,,,0,
32,2,2,2,"6A","Bal","Ge","56",,0,2.80000,,,,"20250904","20260708",0.01120,,,"56",,,,"Bn",,,,1,1,,,,,0,0,,,,,200000,2.00000,"Ge_6A_Bal",,,,0,
34,2,2,2,"6A","Lang","BK","Z1",,0,2.60000,,,,"20250904","20260708",0.01040,,,"Z1",,,,"Bn",,,,1,1,,,,,0,0,,,,,200000,2.00000,"BK_6A_Lang",,,,0,
35,2,2,2,"6A","Freu","Mus","Mus2",,0,2.80000,,,,"20250904","20260708",0.01120,,,"Mus2",,,,"Bn",,,,1,1,,,,,0,0,,,,,200000,2.00000,"Mus_6A_Freu",,,,0,
36,3,3,3,"6A","Wöh","Spo","NH3",,0,3.75000,,,,"20250904","20260708",0.01480,,,"NH3",,,,"Bn",,,,1,2,,,,,0,0,,,,,300000,3.00000,"Spo_6A_Wöh",,,,0,
37,2,2,2,"6A","Bra","Rel","Aula~46",,0,2.60000,,,,"20250904","20260708",0.01040,,,,,,,"Bn",,,,1,1,,,,,0,0,,,,,200000,2.00000,"Rel_6A_Bra",,,,0,
38,1,1,1,"6A","Kes","Kl-R","65",,0,1.00000,,,,"20250904","20260708",0.00400,,,"65",,,,"Bn",,,,,,,,,,0,0,,,,,100000,1.00000,"Kl-R_6A_Kes",,,,0,
38,1,0,1,"6A","Bal","Kl-R","56",,0,1.00000,,,,"20250904","20260708",0.00400,,,,,,,"Bn",,,,,,,,,,0,0,,,,,100000,1.00000,"Kl-R_6A_Kes",,,,0,
